name,type,sponsoring_org,dates,iana_url
.banamex,generic,Citigroup Inc.,"Record last updated 2016-07-28.Registration date 2016-07-21.",https://www.iana.org/domains/root/db/banamex.html
.bananarepublic,generic,"The Gap, Inc.","Record last updated 2016-08-04.Registration date 2016-07-14.",https://www.iana.org/domains/root/db/bananarepublic.html
.band,generic,"United TLD Holdco, Ltd","Record last updated 2015-06-11.Registration date 2014-10-01.",https://www.iana.org/domains/root/db/band.html
.bank,generic,"fTLD Registry Services, LLC","Record last updated 2016-02-22.Registration date 2014-11-26.",https://www.iana.org/domains/root/db/bank.html
.bar,generic,Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable,"Record last updated 2015-10-14.Registration date 2014-02-13.",https://www.iana.org/domains/root/db/bar.html
.barcelona,generic,Municipi de Barcelona,"Record last updated 2015-07-08.Registration date 2015-06-04.",https://www.iana.org/domains/root/db/barcelona.html
.barclaycard,generic,Barclays Bank PLC,"Record last updated 2015-01-25.Registration date 2015-01-08.",https://www.iana.org/domains/root/db/barclaycard.html
.barclays,generic,Barclays Bank PLC,"Record last updated 2015-01-25.Registration date 2015-01-08.",https://www.iana.org/domains/root/db/barclays.html
.barefoot,generic,"Gallo Vineyards, Inc.","Record last updated 2016-03-24.Registration date 2015-10-24.",https://www.iana.org/domains/root/db/barefoot.html
.bargains,generic,"Half Hallow, LLC","Record last updated 2015-06-29.Registration date 2014-01-16.",https://www.iana.org/domains/root/db/bargains.html
.bauhaus,generic,Werkhaus GmbH,"Record last updated 2015-04-06.Registration date 2015-03-12.",https://www.iana.org/domains/root/db/bauhaus.html
.bayern,generic,Bayern Connect GmbH,"Record last updated 2016-04-16.Registration date 2014-03-13.",https://www.iana.org/domains/root/db/bayern.html
.bb,country-code,"Government of Barbados
Ministry of Economic Affairs and Development
Telecommunications Unit","Record last updated 2011-10-06.Registration date 1991-09-03.",https://www.iana.org/domains/root/db/bb.html
.bbc,generic,British Broadcasting Corporation,"Record last updated 2015-08-26.Registration date 2015-03-12.",https://www.iana.org/domains/root/db/bbc.html
.bbt,generic,BB&T Corporation,"Record last updated 2016-07-16.Registration date 2016-05-12.",https://www.iana.org/domains/root/db/bbt.html
.bbva,generic,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.","Record last updated 2016-02-27.Registration date 2015-04-23.",https://www.iana.org/domains/root/db/bbva.html
.bcg,generic,"The Boston Consulting Group, Inc.","Record last updated 2016-03-09.Registration date 2016-02-11.",https://www.iana.org/domains/root/db/bcg.html
.bcn,generic,Municipi de Barcelona,"Record last updated 2015-07-08.Registration date 2015-06-04.",https://www.iana.org/domains/root/db/bcn.html
.bd,country-code,"Ministry of Post & Telecommunications
Bangladesh Secretariat","Record last updated 2010-07-23.Registration date 1999-05-20.",https://www.iana.org/domains/root/db/bd.html
.be,country-code,DNS Belgium vzw/asbl,"Record last updated 2016-06-28.Registration date 1988-08-05.",https://www.iana.org/domains/root/db/be.html
.beats,generic,"Beats Electronics, LLC","Record last updated 2015-11-03.Registration date 2015-08-13.",https://www.iana.org/domains/root/db/beats.html
.beauty,generic,L'Oréal,"Record last updated 2016-07-16.Registration date 2016-04-07.",https://www.iana.org/domains/root/db/beauty.html
.beer,generic,Top Level Domain Holdings Limited,"Record last updated 2016-04-16.Registration date 2014-03-13.",https://www.iana.org/domains/root/db/beer.html
.bentley,generic,Bentley Motors Limited,"Record last updated 2015-09-23.Registration date 2015-05-14.",https://www.iana.org/domains/root/db/bentley.html
.berlin,generic,dotBERLIN GmbH & Co. KG,"Record last updated 2016-01-21.Registration date 2013-12-19.",https://www.iana.org/domains/root/db/berlin.html
.best,generic,BestTLD Pty Ltd,"Record last updated 2014-02-27.Registration date 2014-02-20.",https://www.iana.org/domains/root/db/best.html
.bestbuy,generic,"BBY Solutions, Inc.","Record last updated 2016-07-19.Registration date 2015-12-10.",https://www.iana.org/domains/root/db/bestbuy.html
.bet,generic,Afilias plc,"Record last updated 2015-07-24.Registration date 2015-07-16.",https://www.iana.org/domains/root/db/bet.html
.bf,country-code,ARCE-AutoritÈ de RÈgulation des Communications Electroniques,"Record last updated 2011-02-07.Registration date 1993-03-29.",https://www.iana.org/domains/root/db/bf.html
.bg,country-code,Register.BG,"Record last updated 2015-07-09.Registration date 1995-01-03.",https://www.iana.org/domains/root/db/bg.html
.bh,country-code,Telecommunications Regulatory Authority (TRA),"Record last updated 2014-01-13.Registration date 1994-02-01.",https://www.iana.org/domains/root/db/bh.html
.bharti,generic,Bharti Enterprises (Holding) Private Limited,"Record last updated 2016-03-09.Registration date 2015-05-08.",https://www.iana.org/domains/root/db/bharti.html
.bi,country-code,Centre National de l'Informatique,"Record last updated 2012-04-21.Registration date 1996-10-21.",https://www.iana.org/domains/root/db/bi.html
.bible,generic,American Bible Society,"Record last updated 2015-08-13.Registration date 2015-05-14.",https://www.iana.org/domains/root/db/bible.html
.bid,generic,dot Bid Limited,"Record last updated 2015-07-02.Registration date 2014-02-13.",https://www.iana.org/domains/root/db/bid.html
.bike,generic,"Grand Hollow, LLC","Record last updated 2015-06-29.Registration date 2013-11-08.",https://www.iana.org/domains/root/db/bike.html
.bing,generic,Microsoft Corporation,"Record last updated 2016-02-27.Registration date 2015-04-30.",https://www.iana.org/domains/root/db/bing.html
.bingo,generic,"Sand Cedar, LLC","Record last updated 2015-06-29.Registration date 2015-01-29.",https://www.iana.org/domains/root/db/bingo.html
.bio,generic,STARTING DOT LIMITED,"Record last updated 2016-01-30.Registration date 2014-05-15.",https://www.iana.org/domains/root/db/bio.html
.biz,generic-restricted,"Neustar, Inc.","Record last updated 2016-05-25.Registration date 2001-06-26.",https://www.iana.org/domains/root/db/biz.html
.bj,country-code,Benin Telecoms S.A.,"Record last updated 2012-09-29.Registration date 1996-01-18.",https://www.iana.org/domains/root/db/bj.html
.bl,country-code,Not assigned,"Record last updated 2007-10-11.Registration date 2007-10-11.",https://www.iana.org/domains/root/db/bl.html
.black,generic,Afilias Limited,"Record last updated 2014-03-27.Registration date 2014-03-20.",https://www.iana.org/domains/root/db/black.html
.blackfriday,generic,"Uniregistry, Corp.","Record last updated 2015-09-09.Registration date 2014-04-17.",https://www.iana.org/domains/root/db/blackfriday.html
