name,type,sponsoring_org,last_updated,registered,iana_url
.срб,country-code,Serbian National Internet Domain Registry (RNIDS),2014-08-29,2011-02-05,https://www.iana.org/domains/root/db/xn--90a3ac.html
.சிங்கப்பூர்,country-code,Singapore Network Information Centre (SGNIC) Pte Ltd,2015-12-14,2011-02-05,https://www.iana.org/domains/root/db/xn--clchc0ea0b2g2a9gcd.html
.భారత్,country-code,National Internet Exchange of India,2015-01-06,2011-02-05,https://www.iana.org/domains/root/db/xn--fpcrj9c3d.html
.ભારત,country-code,National Internet Exchange of India,2014-12-08,2011-02-05,https://www.iana.org/domains/root/db/xn--gecrj9c.html
.भारत,country-code,National Internet Exchange of India,2013-05-20,2011-02-05,https://www.iana.org/domains/root/db/xn--h2brj9c.html
‏.الجزائر‎,country-code,CERIST,2011-05-03,2011-02-05,https://www.iana.org/domains/root/db/xn--lgbbat1ad8j.html
‏.عمان‎,country-code,Telecommunications Regulatory Authority (TRA),2015-12-29,2011-02-05,https://www.iana.org/domains/root/db/xn--mgb9awbf.html
‏.ایران‎,country-code,Institute for Research in Fundamental Sciences (IPM),2013-10-09,2011-02-05,https://www.iana.org/domains/root/db/xn--mgba3a4f16a.html
‏.بھارت‎,country-code,National Internet Exchange of India,2015-01-06,2011-02-05,https://www.iana.org/domains/root/db/xn--mgbbh1a71e.html
‏.المغرب‎,country-code,Agence Nationale de Réglementation des Télécommunications (ANRT),2012-06-23,2011-02-05,https://www.iana.org/domains/root/db/xn--mgbc0a9azcg.html
‏.سورية‎,country-code,National Agency for Network Services (NANS),2016-06-01,2011-02-05,https://www.iana.org/domains/root/db/xn--ogbpf8fl.html
.ਭਾਰਤ,country-code,National Internet Exchange of India,2015-01-02,2011-02-05,https://www.iana.org/domains/root/db/xn--s9brj9c.html
.இந்தியா,country-code,National Internet Exchange of India,2015-01-06,2011-02-05,https://www.iana.org/domains/root/db/xn--xkc2dl3a5ee0h.html
.新加坡,country-code,Singapore Network Information Centre (SGNIC) Pte Ltd,2015-06-05,2011-02-05,https://www.iana.org/domains/root/db/xn--yfro4i67o.html
.გე,country-code,Information Technologies Development Center (ITDC),2014-12-04,2011-02-11,https://www.iana.org/domains/root/db/xn--node.html
‏.پاکستان‎,country-code,Not assigned,2016-04-25,2011-02-28,https://www.iana.org/domains/root/db/xn--mgbai9azgqp6j.html
.укр,country-code,"Ukrainian Network Information Centre (UANIC), Inc.",2014-07-28,2011-03-01,https://www.iana.org/domains/root/db/xn--j1amh.html
.বাংলা,country-code,Not assigned,2016-03-08,2011-03-30,https://www.iana.org/domains/root/db/xn--54b7fta0cc.html
.xxx,sponsored,ICM Registry LLC,2015-06-16,2011-04-15,https://www.iana.org/domains/root/db/xxx.html
.қаз,country-code,Association of IT Companies of Kazakhstan,2014-12-30,2011-09-15,https://www.iana.org/domains/root/db/xn--80ao21a.html
‏.مليسيا‎,country-code,MYNIC Berhad,2015-08-19,2011-10-22,https://www.iana.org/domains/root/db/xn--mgbx4cd0ab.html
.мон,country-code,"Datacom Co.,Ltd",2014-11-04,2012-06-21,https://www.iana.org/domains/root/db/xn--l1acc.html
.post,sponsored,Universal Postal Union,2012-09-01,2012-08-07,https://www.iana.org/domains/root/db/post.html
‏.سودان‎,country-code,Sudan Internet Society,2015-05-07,2012-11-20,https://www.iana.org/domains/root/db/xn--mgbpl2fh.html
.онлайн,generic,CORE Association,2015-03-31,2013-10-21,https://www.iana.org/domains/root/db/xn--80asehdb.html
.сайт,generic,CORE Association,2015-03-31,2013-10-21,https://www.iana.org/domains/root/db/xn--80aswg.html
‏.شبكة‎,generic,International Domain Registry Pty. Ltd.,2015-12-17,2013-10-21,https://www.iana.org/domains/root/db/xn--ngbc5azd.html
.游戏,generic,"Spring Fields, LLC",2015-06-24,2013-10-21,https://www.iana.org/domains/root/db/xn--unup4y.html
.camera,generic,"Atomic Maple, LLC",2015-06-29,2013-10-31,https://www.iana.org/domains/root/db/camera.html
.clothing,generic,"Steel Lake, LLC",2015-06-29,2013-10-31,https://www.iana.org/domains/root/db/clothing.html
.equipment,generic,"Corn Station, LLC",2015-06-29,2013-10-31,https://www.iana.org/domains/root/db/equipment.html
.guru,generic,"Pioneer Cypress, LLC",2015-06-29,2013-10-31,https://www.iana.org/domains/root/db/guru.html
.holdings,generic,"John Madison, LLC",2015-06-29,2013-10-31,https://www.iana.org/domains/root/db/holdings.html
.lighting,generic,"John McCook, LLC",2015-06-29,2013-10-31,https://www.iana.org/domains/root/db/lighting.html
.singles,generic,"Fern Madison, LLC",2015-06-29,2013-10-31,https://www.iana.org/domains/root/db/singles.html
.ventures,generic,"Binky Lake, LLC",2015-06-29,2013-10-31,https://www.iana.org/domains/root/db/ventures.html
.voyage,generic,"Ruby House, LLC",2015-06-29,2013-10-31,https://www.iana.org/domains/root/db/voyage.html
.bike,generic,"Grand Hollow, LLC",2015-06-29,2013-11-08,https://www.iana.org/domains/root/db/bike.html
.construction,generic,"Fox Dynamite, LLC",2015-06-29,2013-11-08,https://www.iana.org/domains/root/db/construction.html
.contractors,generic,"Magic Woods, LLC",2015-06-29,2013-11-08,https://www.iana.org/domains/root/db/contractors.html
.estate,generic,"Trixy Park, LLC",2015-06-30,2013-11-08,https://www.iana.org/domains/root/db/estate.html
.gallery,generic,"Sugar House, LLC",2015-06-29,2013-11-08,https://www.iana.org/domains/root/db/gallery.html
.graphics,generic,"Over Madison, LLC",2015-06-29,2013-11-08,https://www.iana.org/domains/root/db/graphics.html
.land,generic,"Pine Moon, LLC",2015-06-29,2013-11-08,https://www.iana.org/domains/root/db/land.html
.plumbing,generic,"Spring Tigers, LLC",2015-06-29,2013-11-08,https://www.iana.org/domains/root/db/plumbing.html
.sexy,generic,"Uniregistry, Corp.",2015-09-09,2013-11-08,https://www.iana.org/domains/root/db/sexy.html
.tattoo,generic,"Uniregistry, Corp.",2015-09-09,2013-11-08,https://www.iana.org/domains/root/db/tattoo.html
.technology,generic,"Auburn Falls, LLC",2015-06-29,2013-11-08,https://www.iana.org/domains/root/db/technology.html
.diamonds,generic,"John Edge, LLC",2015-06-29,2013-11-13,https://www.iana.org/domains/root/db/diamonds.html
.directory,generic,"Extra Madison, LLC",2015-06-29,2013-11-13,https://www.iana.org/domains/root/db/directory.html
.enterprises,generic,"Snow Oaks, LLC",2015-06-29,2013-11-13,https://www.iana.org/domains/root/db/enterprises.html
.kitchen,generic,"Just Goodbye, LLC",2015-06-29,2013-11-13,https://www.iana.org/domains/root/db/kitchen.html
.menu,generic,"Wedding TLD2, LLC",2014-10-03,2013-11-13,https://www.iana.org/domains/root/db/menu.html
.photography,generic,"Sugar Glen, LLC",2015-06-29,2013-11-13,https://www.iana.org/domains/root/db/photography.html
.tips,generic,"Corn Willow, LLC",2015-06-29,2013-11-13,https://www.iana.org/domains/root/db/tips.html
.today,generic,"Pearl Woods, LLC",2015-06-29,2013-11-13,https://www.iana.org/domains/root/db/today.html
.uno,generic,Dot Latin LLC,2015-08-21,2013-11-13,https://www.iana.org/domains/root/db/uno.html
.みんな,generic,Charleston Road Registry Inc.,2016-03-21,2013-11-13,https://www.iana.org/domains/root/db/xn--q9jyb4c.html
